time,tempr
2021-11-08,6.747346854545455
2021-11-09,4.565111977916667
2021-11-10,6.895528779166667
2021-11-11,7.852612116666666
2021-11-12,7.993862120833334
2021-11-13,9.360528808333333
2021-11-14,9.389695625
2021-11-15,5.831778675
2021-11-16,5.307611933333333
2021-11-17,5.576778604166667
2021-11-18,6.2655287374999995
2021-11-19,6.693028733333333
2021-11-20,6.615945366666666
2021-11-21,6.724278704166667
2021-11-22,6.633862008333334
2021-11-23,2.4309453262500003
2021-11-24,1.4109453072916667
2021-11-25,2.257195279041667
2021-11-26,3.2167786129166664
2021-11-27,3.715945215416667
2021-11-28,2.0659453208333334
2021-11-29,2.0134452469166666
2021-11-30,3.4392786183333333
2021-12-01,7.978445429166666
2021-12-02,3.6726119012500003
2021-12-03,1.6063619601666665
2021-12-04,6.9180287625000005
2021-12-05,3.389278591666667
2021-12-06,2.7096952375
2021-12-07,4.282611875
2021-12-08,4.892195208333333
2021-12-09,3.1921952587500004
2021-12-10,2.2371952810833333
2021-12-11,2.510111965833333
2021-12-12,2.926361911575
2021-12-13,4.671778620833334
2021-12-14,4.5834453108333335
2021-12-15,4.1359452249999995
2021-12-16,3.6917785416666664
2021-12-17,0.9105286362083334
2021-12-18,1.01177864875
2021-12-19,1.0809453166666667
2021-12-20,0.9105286222000001
2021-12-21,-1.4632214066666667
2021-12-22,-1.1057214149999999
2021-12-23,3.066778615
2021-12-24,7.450528741666667
2021-12-25,8.4109454875
2021-12-26,6.760112108333334
2021-12-27,7.133862166666667
2021-12-28,9.5667789625
2021-12-29,9.395528854166667
2021-12-30,12.667195708333333
2021-12-31,10.165112254166667
2022-01-01,8.915945445833334
2022-01-02,10.3609455625
2022-01-03,11.333862375
2022-01-04,11.512612183333333
2022-01-05,3.6555286000000002
2022-01-06,2.064695287833333
2022-01-07,1.6234452529166667
2022-01-08,3.782611933625
2022-01-09,3.7688619083333332
2022-01-10,1.7713619441666666
2022-01-11,0.21552863541666667
2022-01-12,-1.4153047558333334
2022-01-13,-0.4007213891666666
2022-01-14,1.863028595625
2022-01-15,2.5042786542499997
2022-01-16,2.9342785799999995
2022-01-17,4.421361920833333
2022-01-18,2.7296952408333333
2022-01-19,2.3330286335833335
2022-01-20,2.3117786308333335
2022-01-21,0.343028635
2022-01-22,1.9159452977500002
2022-01-23,2.234695300708333
2022-01-24,1.9267786379166667
2022-01-25,3.288028570375
2022-01-26,3.5434451933333335
2022-01-27,3.012611925
2022-01-28,3.7109451625
2022-01-29,4.7992786325
2022-01-30,6.1830285625
2022-01-31,3.2288619124999998
2022-02-01,3.12636195875
2022-02-02,7.107195445833334
2022-02-03,8.302612129166667
2022-02-04,7.5205287375
2022-02-05,4.0496952933333334
2022-02-06,5.895111995833333
